route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority,route_desc
14714340f42b15561b83f1f906ac1baa,100047,193,Jõgeva - Kaarepere -Tabivere - Tartu,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>TASUTA<br>Peatuses Salvest ja Vene peatub buss reisijate väljumiseks"
2d68a306eeb50e41a824f6d9d30e7d6a,71,137A,Võru - Misso - Murati - Raagi - Luutsniku - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel<br>Võimalus sõita otse Lõuna-Eesti Haiglasse."
65f8bed871c375c29752a64800122b87,71,137B,Võru-Vastseliina-Misso - Ruusmäe - Sarise - Luutsniku - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel<br>Võimalus sõita otse Lõuna-Eesti Haiglasse."
6058d2d0cb88457c9aa9ccafe57cc1aa,71,138,Misso - Murati - Raagi - Luutsniku - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
d8f73a894064300b055bf9d98140d784,60,138,Tallinn - Vaida - Kose-Uuemõisa - Kose,3,3bb5db,Harjumaa ÜTK,
192ee33419e08d7fbafe1dbb54dd372f,71,139,Võru - Vastseliina - Luhamaa - Misso - Haanja - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
69be8b34a85a23a995607826c3bf10e1,60,139,Tallinn - Vaida - Kose-Uuemõisa - Kose  - Ardu,3,3bb5db,Harjumaa ÜTK,
b58fd26ca63822eac085c5eab72b8920,60,13A,Tõrva-Sangaste-Otepää,3,3bb5db,Valga MV,"TASUTA<br>Liin on käigus koolipäevadel"
1200bd6443513ac5057e3be158483d75,60,13B,Otepää-Sangaste-Tõrva,3,3bb5db,Valga MV,"TASUTA<br>Liin on käigus koolipäevadel"
7f5cc215f936b5ed3463548dbc209008,50,14,Merimetsa - Papiniidu - Riia mnt - Oja - Haigla,3,de2c42,Pärnu LV,"Tallinna mnt. kohtumispeatus (Karja - Mai - Raeküla suunal) üle viidud Bussijaama peatusse"
4992588bea2465a4849ef783d2a2cf1a,56,14,Viru  - Vana-Pääsküla,3,de2c42,Tallinna TA,
e104a29bc8ade006707bcc8a76a3fc2a,100047,14,Viljandi - Karula - Viljandi,3,3bb5db,Viljandi MV,"TASUTA<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
04425536c028ddfd8e90139da7785541,60,14,Haapsalu - Variku - Nõva - Nõva rand OSALISELT NÕUDELIIN,3,3bb5db,Lääne MV,"TASUTA<br>Peatused Soosaare, Tusari, Peraküla ja Laimi ainult ettetellimisel. Tellimuse esitamiseks tuleb helistada hiljemalt sõidule eelneva päeva kella 18:00-ks telefonil 6404000."
149286f71bd4a3e1cf6c50563b5d3942,60,14,Kunksilla - Vastse-Koiola - Verioramõisa - Viluste,3,3bb5db,Põlva MV,"Käigus koolipäevadel."
