route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599539,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599541,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599543,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599545,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599547,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599549,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599551,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599553,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599557,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599559,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599561,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599563,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599565,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599568,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599570,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599572,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599574,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599576,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229099,1599578,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599582,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599584,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599586,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599588,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599590,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599592,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599594,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599596,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599598,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229100,1599600,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
